Comment,Designator,Footprint,LCSC
TestPoint,J5,Solder_Pad_5x1.3mm,
PT4115,U1,SOT-89-5_Handsoldering,
TestPoint,J6,Solder_Pad_5x1.3mm,
TestPoint,J4,Solder_Pad_5x1.3mm,
MountingHole,H2,MountingHole_3.2mm_M3_ISO14580,
0R2,R2,R_1210_3225Metric,
TestPoint,J2,Solder_Pad_5x1.3mm,
SRN6045TA-470M,L1,L_Bourns_SRN6045TA,
" BZX384-B5V1,115",D1,D_SC-80_HandSoldering,
0R2,R1,R_1210_3225Metric,
MountingHole,H3,MountingHole_4.3mm_M4,
TestPoint,J3,Solder_Pad_5x1.3mm,
SS14-LTP,D2,D_SMA_Handsoldering,
nc,C1,C_0805_2012Metric,
MountingHole,H1,MountingHole_3.2mm_M3_ISO14580,
10k,R3,R_0805_2012Metric,
